figure,panel,record_type,module,metric,estimand,condition,cluster_id,cluster_unit,estimate,ci_low,ci_high,ci_method,unit,raw_value,raw_unit,n_observations,n_clusters,numerator,denominator,transformation,weighting,source_json_path,warning
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-METH-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-METH-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-SCI-01,task_id,0.7777777777777778,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-SCI-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,a,estimate,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,,task_id,0.9074074074074074,0.7962962962962963,0.9814814814814815,descriptive 95% task bootstrap,proportion,,,,6,,,,equal across frozen strata after within-artifact/auditor repeat collapse,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-DATA-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-DATA-02,task_id,0.8888888888888888,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-METH-01,task_id,0.6666666666666666,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-METH-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-SCI-01,task_id,0.8888888888888888,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->anthropic,F-SCI-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->anthropic.task_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,a,estimate,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,,task_id,0.9444444444444445,0.8703703703703703,1.0,descriptive 95% task bootstrap,proportion,,,,6,,,,equal across frozen strata after within-artifact/auditor repeat collapse,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-DATA-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-DATA-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-METH-01,task_id,0.7777777777777778,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-METH-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-SCI-01,task_id,0.8888888888888888,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,openai->openai,F-SCI-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.openai->openai.task_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,b,estimate,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,,task_id,0.1851851851851852,0.07407407407407408,0.29629629629629634,descriptive 95% task bootstrap,proportion,,,,6,,,none,equal-weight frozen clusters,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-DATA-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-DATA-02,task_id,0.33333333333333337,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-METH-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-METH-02,task_id,0.33333333333333337,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-SCI-01,task_id,0.11111111111111116,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,Anthropic-authored: OpenAI auditor minus Anthropic auditor,C2/D0 controlled strata,F-SCI-02,task_id,0.33333333333333337,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.anthropic->openai_minus_anthropic->anthropic.cluster_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,b,estimate,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,,task_id,-0.037037037037037056,-0.07407407407407411,0.0,descriptive 95% task bootstrap,proportion,,,,6,,,none,equal-weight frozen clusters,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-DATA-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-DATA-02,task_id,-0.11111111111111116,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-METH-01,task_id,-0.11111111111111116,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-METH-02,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-SCI-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,OpenAI-authored: Anthropic auditor minus OpenAI auditor,C2/D0 controlled strata,F-SCI-02,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.openai->anthropic_minus_openai->openai.cluster_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,b,estimate,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,,task_id,0.07407407407407411,0.009259259259259264,0.13888888888888895,descriptive 95% task bootstrap,proportion,,,,6,,,none,equal-weight frozen clusters,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-DATA-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-DATA-02,task_id,0.11111111111111116,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-METH-01,task_id,-0.05555555555555558,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-METH-02,task_id,0.16666666666666674,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-SCI-01,task_id,0.05555555555555558,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,correct_gate,cross minus same,C2/D0 controlled strata,F-SCI-02,task_id,0.16666666666666674,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,b,estimate,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,,task_id,0.1111111111111111,0.013888888888888881,0.20833333333333334,descriptive 95% task bootstrap,proportion,,,,6,,,sign reversed from raw cross-minus-same false-block contrast,equal-weight frozen clusters,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-DATA-01,task_id,-0.0,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-DATA-02,task_id,0.16666666666666669,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-METH-01,task_id,-0.08333333333333334,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-METH-02,task_id,0.25,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-SCI-01,task_id,0.08333333333333331,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,b,cluster_value,Generator x Auditor,false_block,same minus cross,C2/D0 controlled strata,F-SCI-02,task_id,0.25,,,,proportion,,,1,,,,sign reversed from raw cross-minus-same false-block contrast,,.core_2x2_and_ablations.primary_pairing.D0_OFF.negative_control_false_block_fixed_2x2.contrasts.cross_minus_same.cluster_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,c,estimate,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,,task_id,0.1875,0.14583333333333334,0.22916666666666666,descriptive 95% task bootstrap,proportion,,,,6,,,none,equal-weight frozen clusters,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-DATA-01,task_id,0.125,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-DATA-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-DATA-02,task_id,0.25,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-DATA-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-METH-01,task_id,0.125,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-METH-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-METH-02,task_id,0.125,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-METH-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-SCI-01,task_id,0.25,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-SCI-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D0,C2 all frozen artefacts,F-SCI-02,task_id,0.25,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D0.cluster_values.F-SCI-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,estimate,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,,task_id,-0.0,-0.0,-0.0,descriptive 95% task bootstrap,proportion,,,,6,,,sign reversed so positive means fewer false blocks,equal-weight frozen clusters,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-DATA-01,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-DATA-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-DATA-02,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-DATA-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-METH-01,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-METH-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-METH-02,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-METH-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-SCI-01,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-SCI-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D0 minus D2,C2 all frozen artefacts,F-SCI-02,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D0.cluster_values.F-SCI-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,estimate,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,,task_id,-0.0763888888888889,-0.11111111111111112,-0.038194444444444454,descriptive 95% task bootstrap,proportion,,,,6,,,none,equal-weight frozen clusters,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-DATA-01,task_id,0.0,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-DATA-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-DATA-02,task_id,-0.08333333333333337,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-DATA-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-METH-01,task_id,-0.10416666666666663,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-METH-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-METH-02,task_id,-0.0625,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-METH-02,descriptive feasibility interval; <=6 convenience tasks
